file_id,file_name,performer,instrument,emotion,emotional_intensity,recording_date
40,40_happy_n1_i3_electric-guitar_Tiz_Bol_20211211,TizBol,electric-guitar,happy,3,20211211
41,41_happy_n2_i2_electric-guitar_Tiz_Bol_20211211,TizBol,electric-guitar,happy,2,20211211
42,42_happy_n3_i3_electric-guitar_Tiz_Bol_20211211,TizBol,electric-guitar,happy,3,20211211
43,43_relaxed_n1_i2_electric-guitar_Tiz_Bol_20211211,TizBol,electric-guitar,relaxed,2,20211211
44,44_relaxed_n2_i2_electric-guitar_Tiz_Bol_20211211,TizBol,electric-guitar,relaxed,2,20211211
45,45_relaxed_n3_i3_electric-guitar_Tiz_Bol_20211211,TizBol,electric-guitar,relaxed,3,20211211
46,46_sad_n1_i3_electric-guitar_Tiz_Bol_20211211,TizBol,electric-guitar,sad,3,20211211
47,47_sad_n2_i1_electric-guitar_Tiz_Bol_20211211,TizBol,electric-guitar,sad,1,20211211
48,48_sad_n3_i3_electric-guitar_Tiz_Bol_20211211,TizBol,electric-guitar,sad,3,20211211
49,49_aggressive_n1_i2_electric-guitar_PhiRom_20211201,PhiRom,electric-guitar,aggressive,2,20211201
50,50_aggressive_n2_i1_electric-guitar_PhiRom_20211201,PhiRom,electric-guitar,aggressive,2,20211201
51,51_aggressive_n3_i3_electric-guitar_PhiRom_20211201,PhiRom,electric-guitar,aggressive,3,20211201
52,52_happy_n1_i1_electric-guitar_PhiRom_20211201,PhiRom,electric-guitar,happy,1,20211201
53,53_happy_n2_i3_electric-guitar_PhiRom_20211201,PhiRom,electric-guitar,happy,3,20211201
54,54_happy_n3_i2_electric-guitar_PhiRom_20211201,PhiRom,electric-guitar,happy,2,20211201
55,55_relaxed_n1_i3_electric-guitar_PhiRom_20211201,PhiRom,electric-guitar,relaxed,3,20211201
56,56_relaxed_n2_i1_electric-guitar_PhiRom_20211201,PhiRom,electric-guitar,relaxed,1,20211201
57,57_relaxed_n3_i3_electric-guitar_PhiRom_20211201,PhiRom,electric-guitar,relaxed,3,20211201
58,58_sad_n1_i2_electric-guitar_PhiRom_20211201,PhiRom,electric-guitar,sad,2,20211201
59,59_sad_n2_i1_electric-guitar_PhiRom_20211201,PhiRom,electric-guitar,sad,1,20211201
60,60_sad_n3_i3_electric-guitar_PhiRom_20211201,PhiRom,electric-guitar,sad,3,20211201
61,61_aggressive_n1_i3_electric-guitar_PaoTad_20211214,PaoTad,electric-guitar,aggressive,3,20211214
62,62_aggressive_n2_i1_electric-guitar_PaoTad_20211214,PaoTad,electric-guitar,aggressive,1,20211214
63,63_aggressive_n3_i2_electric-guitar_PaoTad_20211214,PaoTad,electric-guitar,aggressive,2,20211214
64,64_happy_n1_i3_electric-guitar_PaoTad_20211214,PaoTad,electric-guitar,happy,3,20211214
65,65_happy_n2_i1_electric-guitar_PaoTad_20211214,PaoTad,electric-guitar,happy,1,20211214
66,66_happy_n3_i2_electric-guitar_PaoTad_20211214,PaoTad,electric-guitar,happy,2,20211214
67,67_relaxed_n1_i3_electric-guitar_PaoTad_20211214,PaoTad,electric-guitar,relaxed,3,20211214
68,68_relaxed_n2_i1_electric-guitar_PaoTad_20211214,PaoTad,electric-guitar,relaxed,1,20211214
69,69_relaxed_n3_i2_electric-guitar_PaoTad_20211214,PaoTad,electric-guitar,relaxed,2,20211214
70,70_sad_n1_i3_electric-guitar_PaoTad_20211214,PaoTad,electric-guitar,sad,3,20211214
71,71_sad_n2_i2_electric-guitar_PaoTad_20211214,PaoTad,electric-guitar,sad,2,20211214
72,72_sad_n3_i1_electric-guitar_PaoTad_20211214,PaoTad,electric-guitar,sad,1,20211214
73,73_aggressive_n1_i3_electric-guitar_AdoLav_20211227,AdoLav,electric-guitar,aggressive,3,20211227
74,74_aggressive_n2_i1_electric-guitar_AdoLav_20211227,AdoLav,electric-guitar,aggressive,1,20211227
75,75_aggressive_n3_i2_electric-guitar_AdoLav_20211227,AdoLav,electric-guitar,aggressive,2,20211227
76,76_happy_n1_i1_electric-guitar_AdoLav_20211227,AdoLav,electric-guitar,happy,1,20211227
77,77_happy_n2_i2_electric-guitar_AdoLav_20211227,AdoLav,electric-guitar,happy,2,20211227
78,78_happy_n3_i3_electric-guitar_AdoLav_20211227,AdoLav,electric-guitar,happy,3,20211227
79,79_relaxed_n1_i1_electric-guitar_AdoLav_20211227,AdoLav,electric-guitar,relaxed,1,20211227
80,80_relaxed_n2_i2_electric-guitar_AdoLav_20211227,AdoLav,electric-guitar,relaxed,2,20211227
81,81_relaxed_n3_i1_electric-guitar_AdoLav_20211227,AdoLav,electric-guitar,relaxed,1,20211227
82,82_sad_n1_i1_electric-guitar_AdoLav_20211227,AdoLav,electric-guitar,sad,1,20211227
83,83_sad_n2_i2_electric-guitar_AdoLav_20211227,AdoLav,electric-guitar,sad,2,20211227
84,84_sad_n3_i3_electric-guitar_AdoLav_20211227,AdoLav,electric-guitar,sad,3,20211227
85,85_aggressive_n1_i3_electric-guitar_NisSil_20211230,NisSil,electric-guitar,aggressive,3,20211230
86,86_aggressive_n2_i2_electric-guitar_NisSil_20211230,NisSil,electric-guitar,aggressive,2,20211230
87,87_aggressive_n3_i2_electric-guitar_NisSil_20211230,NisSil,electric-guitar,aggressive,2,20211230
88,88_happy_n1_i2_electric-guitar_NisSil_20211230,NisSil,electric-guitar,happy,2,20211230
89,89_happy_n2_i2_electric-guitar_NisSil_20211230,NisSil,electric-guitar,happy,2,20211230
90,90_happy_n3_i3_electric-guitar_NisSil_20211230,NisSil,electric-guitar,happy,3,20211230
91,91_relaxed_n1_i3_electric-guitar_NisSil_20211230,NisSil,electric-guitar,relaxed,3,20211230
92,92_relaxed_n2_i3_electric-guitar_NisSil_20211230,NisSil,electric-guitar,relaxed,3,20211230
93,93_relaxed_n3_i3_electric-guitar_NisSil_20211230,NisSil,electric-guitar,relaxed,3,20211230
94,94_sad_n1_i3_electric-guitar_NisSil_20211230,NisSil,electric-guitar,sad,3,20211230
95,95_sad_n2_i2_electric-guitar_NisSil_20211230,NisSil,electric-guitar,sad,2,20211230
96,96_sad_n3_i3_electric-guitar_NisSil_20211230,NisSil,electric-guitar,sad,3,20211230
97,97_aggressive_n1_i3_electric-guitar_AleMar_20220123,AleMar,electric-guitar,aggressive,3,20220123
98,98_aggressive_n2_i3_electric-guitar_AleMar_20220123,AleMar,electric-guitar,aggressive,3,20220123
99,99_aggressive_n3_i2_electric-guitar_AleMar_20220123,AleMar,electric-guitar,aggressive,2,20220123
100,100_happy_n1_i2_electric-guitar_AleMar_20220123,AleMar,electric-guitar,happy,2,20220123
101,101_happy_n2_i2_electric-guitar_AleMar_20220123,AleMar,electric-guitar,happy,2,20220123
102,102_happy_n3_i1_electric-guitar_AleMar_20220123,AleMar,electric-guitar,happy,1,20220123
103,103_relaxed_n1_i2_electric-guitar_AleMar_20220123,AleMar,electric-guitar,relaxed,2,20220123
104,104_relaxed_n2_i1_electric-guitar_AleMar_20220123,AleMar,electric-guitar,relaxed,1,20220123
105,105_relaxed_n3_i2_electric-guitar_AleMar_20220123,AleMar,electric-guitar,relaxed,2,20220123
106,106_sad_n1_i2_electric-guitar_AleMar_20220123,AleMar,electric-guitar,sad,2,20220123
107,107_sad_n2_i2_electric-guitar_AleMar_20220123,AleMar,electric-guitar,sad,2,20220123
108,108_sad_n3_i3_electric-guitar_AleMar_20220123,AleMar,electric-guitar,sad,3,20220123
109,109_aggressive_n13_i3_electric-guitar_PhiRom_20220124,PhiRom,electric-guitar,aggressive,3,20220124
110,110_aggressive_n14_i1_electric-guitar_PhiRom_20220124,PhiRom,electric-guitar,aggressive,1,20220124
111,111_aggressive_n15_i2_electric-guitar_PhiRom_20220124,PhiRom,electric-guitar,aggressive,2,20220124
112,112_happy_n16_i1_electric-guitar_PhiRom_20220124,PhiRom,electric-guitar,happy,1,20220124
113,113_happy_n17_i3_electric-guitar_PhiRom_20220124,PhiRom,electric-guitar,happy,3,20220124
114,114_happy_n18_i3_electric-guitar_PhiRom_20220124,PhiRom,electric-guitar,happy,3,20220124
115,115_relaxed_n19_i3_electric-guitar_PhiRom_20220124,PhiRom,electric-guitar,relaxed,3,20220124
116,116_relaxed_n20_i2_electric-guitar_PhiRom_20220124,PhiRom,electric-guitar,relaxed,2,20220124
117,117_relaxed_n21_i1_electric-guitar_PhiRom_20220124,PhiRom,electric-guitar,relaxed,1,20220124
118,118_sad_n22_i3_electric-guitar_PhiRom_20220124,PhiRom,electric-guitar,sad,3,20220124
119,119_sad_n23_i1_electric-guitar_PhiRom_20220124,PhiRom,electric-guitar,sad,1,20220124
120,120_sad_n24_i2_electric-guitar_PhiRom_20220124,PhiRom,electric-guitar,sad,2,20220124
121,121_aggressive_n25_i2_electric-guitar_PhiRom_20220124,PhiRom,electric-guitar,aggressive,2,20220124
122,122_aggressive_n26_i1_electric-guitar_PhiRom_20220124,PhiRom,electric-guitar,aggressive,1,20220124
123,123_aggressive_n27_i3_electric-guitar_PhiRom_20220124,PhiRom,electric-guitar,aggressive,3,20220124
124,124_happy_n28_i1_electric-guitar_PhiRom_20220124,PhiRom,electric-guitar,happy,1,20220124
125,125_happy_n29_i3_electric-guitar_PhiRom_20220124,PhiRom,electric-guitar,happy,3,20220124
126,126_happy_n30_i2_electric-guitar_PhiRom_20220124,PhiRom,electric-guitar,happy,2,20220124
127,127_relaxed_n31_i1_electric-guitar_PhiRom_20220124,PhiRom,electric-guitar,relaxed,1,20220124
128,128_relaxed_n32_i3_electric-guitar_PhiRom_20220124,PhiRom,electric-guitar,relaxed,3,20220124
129,129_relaxed_n33_i2_electric-guitar_PhiRom_20220124,PhiRom,electric-guitar,relaxed,2,20220124
130,130_sad_n34_i1_electric-guitar_PhiRom_20220124,PhiRom,electric-guitar,sad,1,20220124
131,131_sad_n35_i2_electric-guitar_PhiRom_20220124,PhiRom,electric-guitar,sad,2,20220124
132,132_sad_n36_i3_electric-guitar_PhiRom_20220124,PhiRom,electric-guitar,sad,3,20220124
133,133_aggressive_n1_i3_electric-guitar_RobBia_20220131,RobBia,electric-guitar,aggressive,3,20220131
134,134_happy_n1_i2_electric-guitar_RobBia_20220131,RobBia,electric-guitar,happy,2,20220131
135,135_relaxed_n1_i3_electric-guitar_RobBia_20220131,RobBia,electric-guitar,relaxed,3,20220131
136,136_sad_n1_i2_electric-guitar_RobBia_20220131,RobBia,electric-guitar,sad,2,20220131
137,137_aggressive_n1_i2_electric-guitar_AntPao_20220207,AntPao,electric-guitar,aggressive,2,20220207
138,138_aggressive_n2_i1_electric-guitar_AntPao_20220207,AntPao,electric-guitar,aggressive,1,20220207
139,139_aggressive_n3_i3_electric-guitar_AntPao_20220207,AntPao,electric-guitar,aggressive,3,20220207
140,140_happy_n1_i1_electric-guitar_AntPao_20220207,AntPao,electric-guitar,happy,1,20220207
141,141_happy_n2_i2_electric-guitar_AntPao_20220207,AntPao,electric-guitar,happy,2,20220207
142,142_happy_n3_i3_electric-guitar_AntPao_20220207,AntPao,electric-guitar,happy,3,20220207
143,143_relaxed_n1_i2_electric-guitar_AntPao_20220207,AntPao,electric-guitar,relaxed,2,20220207
144,144_relaxed_n2_i1_electric-guitar_AntPao_20220207,AntPao,electric-guitar,relaxed,1,20220207
145,145_relaxed_n3_i3_electric-guitar_AntPao_20220207,AntPao,electric-guitar,relaxed,3,20220207
146,146_sad_n1_i3_electric-guitar_AntPao_20220207,AntPao,electric-guitar,sad,1,20220207
147,147_sad_n2_i1_electric-guitar_AntPao_20220207,AntPao,electric-guitar,sad,2,20220207
148,148_sad_n3_i2_electric-guitar_AntPao_20220207,AntPao,electric-guitar,sad,3,20220207
149,149_aggressive_n1_i3_electric-guitar_DavBen_20220303,DavBen,electric-guitar,aggressive,3,20220303
150,150_aggressive_n2_i2_electric-guitar_DavBen_20220303,DavBen,electric-guitar,aggressive,2,20220303
151,151_aggressive_n3_i3_electric-guitar_DavBen_20220303,DavBen,electric-guitar,aggressive,3,20220303
152,152_happy_n1_i1_electric-guitar_DavBen_20220303,DavBen,electric-guitar,happy,1,20220303
153,153_happy_n2_i2_electric-guitar_DavBen_20220303,DavBen,electric-guitar,happy,2,20220303
154,154_happy_n3_i3_electric-guitar_DavBen_20220303,DavBen,electric-guitar,happy,3,20220303
155,155_relaxed_n1_i1_electric-guitar_DavBen_20220303,DavBen,electric-guitar,relaxed,1,20220303
156,156_relaxed_n2_i2_electric-guitar_DavBen_20220303,DavBen,electric-guitar,relaxed,2,20220303
157,157_relaxed_n3_i2_electric-guitar_DavBen_20220303,DavBen,electric-guitar,relaxed,3,20220303
158,158_sad_n1_i2_electric-guitar_DavBen_20220303,DavBen,electric-guitar,sad,2,20220303
159,159_sad_n2_i3_electric-guitar_DavBen_20220303,DavBen,electric-guitar,sad,3,20220303
160,160_sad_n3_i1_electric-guitar_DavBen_20220303,DavBen,electric-guitar,sad,1,20220303
161,161_aggressive_n1_i3_electric-guitar_MicRos_20220305,MicRos,electric-guitar,aggressive,3,20220305
162,162_aggressive_n2_i2_electric-guitar_MicRos_20220305,MicRos,electric-guitar,aggressive,2,20220305
163,163_aggressive_n3_i1_electric-guitar_MicRos_20220305,MicRos,electric-guitar,aggressive,1,20220305
164,164_happy_n1_i2_electric-guitar_MicRos_20220305,MicRos,electric-guitar,happy,2,20220305
165,165_happy_n2_i3_electric-guitar_MicRos_20220305,MicRos,electric-guitar,happy,3,20220305
166,166_happy_n3_i1_electric-guitar_MicRos_20220305,MicRos,electric-guitar,happy,1,20220305
167,167_relaxed_n1_i1_electric-guitar_MicRos_20220305,MicRos,electric-guitar,relaxed,1,20220305
168,168_relaxed_n2_i2_electric-guitar_MicRos_20220305,MicRos,electric-guitar,relaxed,2,20220305
169,169_relaxed_n3_i1_electric-guitar_MicRos_20220305,MicRos,electric-guitar,relaxed,1,20220305
170,170_sad_n1_i2_electric-guitar_MicRos_20220305,MicRos,electric-guitar,sad,2,20220305
171,171_sad_n2_i1_electric-guitar_MicRos_20220305,MicRos,electric-guitar,sad,1,20220305
172,172_sad_n3_i1_electric-guitar_MicRos_20220305,MicRos,electric-guitar,sad,1,20220305
173,173_aggressive_n1_i1_electric-guitar_NicSal_20220531,NicSal,electric-guitar,aggressive,1,20220531
174,174_aggressive_n2_i3_electric-guitar_NicSal_20220531,NicSal,electric-guitar,aggressive,3,20220531
175,175_aggressive_n3_i2_electric-guitar_NicSal_20220531,NicSal,electric-guitar,aggressive,2,20220531
176,176_happy_n1_i1_electric-guitar_NicSal_20220531,NicSal,electric-guitar,happy,1,20220531
177,177_happy_n2_i2_electric-guitar_NicSal_20220531,NicSal,electric-guitar,happy,2,20220531
178,178_happy_n3_i2_electric-guitar_NicSal_20220531,NicSal,electric-guitar,happy,2,20220531
179,179_happy_n4_i3_electric-guitar_NicSal_20220531,NicSal,electric-guitar,happy,3,20220531
180,180_relaxed_n1_i1_electric-guitar_NicSal_20220531,NicSal,electric-guitar,relaxed,1,20220531
181,181_relaxed_n2_i2_electric-guitar_NicSal_20220531,NicSal,electric-guitar,relaxed,2,20220531
182,182_relaxed_n3_i3_electric-guitar_NicSal_20220531,NicSal,electric-guitar,relaxed,3,20220531
183,183_sad_n1_i1_electric-guitar_NicSal_20220531,NicSal,electric-guitar,sad,1,20220531
184,184_sad_n2_i3_electric-guitar_NicSal_20220531,NicSal,electric-guitar,sad,3,20220531
185,185_sad_n3_i2_electric-guitar_NicSal_20220531,NicSal,electric-guitar,sad,2,20220531
186,186_aggressive_n13_i2_electric-guitar_NisSil_20220514,NisSil,electric-guitar,aggressive,2,20220514
187,187_aggressive_n14_i3_electric-guitar_NisSil_20220514,NisSil,electric-guitar,aggressive,3,20220514
188,188_aggressive_n15_i3_electric-guitar_NisSil_20220514,NisSil,electric-guitar,aggressive,3,20220514
189,189_happy_n16_i3_electric-guitar_NisSil_20220514,NisSil,electric-guitar,happy,3,20220514
190,190_happy_n17_i1_electric-guitar_NisSil_20220514,NisSil,electric-guitar,happy,1,20220514
191,191_happy_n18_i2_electric-guitar_NisSil_20220514,NisSil,electric-guitar,happy,2,20220514
192,192_relaxed_n19_i2_electric-guitar_NisSil_20220514,NisSil,electric-guitar,relaxed,2,20220514
193,193_relaxed_n20_i2_electric-guitar_NisSil_20220514,NisSil,electric-guitar,relaxed,2,20220514
194,194_relaxed_n21_i2_electric-guitar_NisSil_20220514,NisSil,electric-guitar,relaxed,2,20220514
195,195_sad_n22_i3_electric-guitar_NisSil_20220514,NisSil,electric-guitar,sad,3,20220514
196,196_sad_n23_i2_electric-guitar_NisSil_20220514,NisSil,electric-guitar,sad,2,20220514
197,197_sad_n24_i3_electric-guitar_NisSil_20220514,NisSil,electric-guitar,sad,3,20220514
198,198_aggressive_n1_i3_electric-guitar_NicCon_20220609,NicCon,electric-guitar,aggressive,3,20220609
199,199_aggressive_n2_i2_electric-guitar_NicCon_20220609,NicCon,electric-guitar,aggressive,2,20220609
200,200_aggressive_n3_i3_electric-guitar_NicCon_20220609,NicCon,electric-guitar,aggressive,3,20220609
201,201_happy_n1_i3_electric-guitar_NicCon_20220609,NicCon,electric-guitar,happy,3,20220609
202,202_happy_n2_i2_electric-guitar_NicCon_20220609,NicCon,electric-guitar,happy,2,20220609
203,203_happy_n3_i3_electric-guitar_NicCon_20220609,NicCon,electric-guitar,happy,3,20220609
204,204_relaxed_n1_i1_electric-guitar_NicCon_20220609,NicCon,electric-guitar,relaxed,1,20220609
205,205_relaxed_n1_i2_electric-guitar_NicCon_20220609,NicCon,electric-guitar,relaxed,2,20220609
206,206_relaxed_n1_i3_electric-guitar_NicCon_20220609,NicCon,electric-guitar,relaxed,3,20220609
207,207_sad_n1_i2_electric-guitar_NicCon_20220609,NicCon,electric-guitar,sad,2,20220609
208,208_sad_n2_i2_electric-guitar_NicCon_20220609,NicCon,electric-guitar,sad,2,20220609
209,209_sad_n3_i3_electric-guitar_NicCon_20220609,NicCon,electric-guitar,sad,3,20220609
210,210_aggressive_n1_i3_electric-guitar_ValFui_20220802,ValFui,electric-guitar,aggressive,3,20220802
211,211_aggressive_n2_i2_electric-guitar_ValFui_20220802,ValFui,electric-guitar,aggressive,2,20220802
212,212_aggressive_n3_i1_electric-guitar_ValFui_20220802,ValFui,electric-guitar,aggressive,1,20220802
213,213_happy_n1_i1_electric-guitar_ValFui_20220802,ValFui,electric-guitar,happy,1,20220802
214,214_happy_n2_i2_electric-guitar_ValFui_20220802,ValFui,electric-guitar,happy,2,20220802
215,215_happy_n3_i2_electric-guitar_ValFui_20220802,ValFui,electric-guitar,happy,2,20220802
216,216_relaxed_n1_i2_electric-guitar_ValFui_20220802,ValFui,electric-guitar,relaxed,2,20220802
217,217_relaxed_n2_i3_electric-guitar_ValFui_20220802,ValFui,electric-guitar,relaxed,3,20220802
218,218_relaxed_n3_i2_electric-guitar_ValFui_20220802,ValFui,electric-guitar,relaxed,2,20220802
219,219_sad_n1_i3_electric-guitar_ValFui_20220802,ValFui,electric-guitar,sad,3,20220802
220,220_sad_n2_i2_electric-guitar_ValFui_20220802,ValFui,electric-guitar,sad,2,20220802
221,221_sad_n3_i1_electric-guitar_ValFui_20220802,ValFui,electric-guitar,sad,1,20220802
222,222_aggressive_n1_i1_electric-guitar_DavAlt_20220909,DavAlt,electric-guitar,aggressive,1,20220909
223,223_aggressive_n2_i2_electric-guitar_DavAlt_20220909,DavAlt,electric-guitar,aggressive,2,20220909
224,224_aggressive_n3_i3_electric-guitar_DavAlt_20220909,DavAlt,electric-guitar,aggressive,3,20220909
225,225_happy_n1_i1_electric-guitar_DavAlt_20220909,DavAlt,electric-guitar,happy,1,20220909
226,226_happy_n2_i2_electric-guitar_DavAlt_20220909,DavAlt,electric-guitar,happy,2,20220909
227,227_happy_n3_i3_electric-guitar_DavAlt_20220909,DavAlt,electric-guitar,happy,3,20220909
228,228_relaxed_n1_i1_electric-guitar_DavAlt_20220909,DavAlt,electric-guitar,relaxed,1,20220909
229,229_relaxed_n2_i2_electric-guitar_DavAlt_20220909,DavAlt,electric-guitar,relaxed,2,20220909
230,230_relaxed_n3_i3_electric-guitar_DavAlt_20220909,DavAlt,electric-guitar,relaxed,3,20220909
231,231_sad_n1_i1_electric-guitar_DavAlt_20220909,DavAlt,electric-guitar,sad,1,20220909
232,232_sad_n2_i2_electric-guitar_DavAlt_20220909,DavAlt,electric-guitar,sad,2,20220909
233,233_sad_n3_i3_electric-guitar_DavAlt_20220909,DavAlt,electric-guitar,sad,3,20220909
234,234_aggressive_n1_i1_electric-guitar_DavPor_20220702,DavPor,electric-guitar,aggressive,1,20220702
235,235_aggressive_n2_i3_electric-guitar_DavPor_20220702,DavPor,electric-guitar,aggressive,3,20220702
236,236_aggressive_n3_i2_electric-guitar_DavPor_20220702,DavPor,electric-guitar,aggressive,2,20220702
237,237_happy_n1_i1_electric-guitar_DavPor_20220702,DavPor,electric-guitar,happy,1,20220702
238,238_happy_n2_i2_electric-guitar_DavPor_20220702,DavPor,electric-guitar,happy,2,20220702
239,239_happy_n3_i3_electric-guitar_DavPor_20220702,DavPor,electric-guitar,happy,3,20220702
240,240_relaxed_n1_i3_electric-guitar_DavPor_20220702,DavPor,electric-guitar,relaxed,3,20220702
241,241_relaxed_n2_i1_electric-guitar_DavPor_20220702,DavPor,electric-guitar,relaxed,1,20220702
242,242_relaxed_n3_i2_electric-guitar_DavPor_20220702,DavPor,electric-guitar,relaxed,2,20220702
243,243_sad_n1_i3_electric-guitar_DavPor_20220702,DavPor,electric-guitar,sad,3,20220702
244,244_sad_n2_i2_electric-guitar_DavPor_20220702,DavPor,electric-guitar,sad,2,20220702
245,245_sad_n3_i3_electric-guitar_DavPor_20220702,DavPor,electric-guitar,sad,3,20220702
246,246_aggressive_n1_i2_electric-guitar_MarFio_20220613,MarFio,electric-guitar,aggressive,2,20220613
247,247_aggressive_n2_i2_electric-guitar_MarFio_20220613,MarFio,electric-guitar,aggressive,2,20220613
248,248_aggressive_n3_i2_electric-guitar_MarFio_20220613,MarFio,electric-guitar,aggressive,2,20220613
249,249_happy_n1_i1_electric-guitar_MarFio_20220613,MarFio,electric-guitar,happy,1,20220613
250,250_happy_n2_i1_electric-guitar_MarFio_20220613,MarFio,electric-guitar,happy,1,20220613
251,251_happy_n3_i2_electric-guitar_MarFio_20220613,MarFio,electric-guitar,happy,2,20220613
252,252_relaxed_n1_i1_electric-guitar_MarFio_20220613,MarFio,electric-guitar,relaxed,1,20220613
253,253_relaxed_n2_i1_electric-guitar_MarFio_20220613,MarFio,electric-guitar,relaxed,1,20220613
254,254_relaxed_n3_i2_electric-guitar_MarFio_20220613,MarFio,electric-guitar,relaxed,2,20220613
255,255_sad_n1_i2_electric-guitar_MarFio_20220613,MarFio,electric-guitar,sad,2,20220613
256,256_sad_n2_i1_electric-guitar_MarFio_20220613,MarFio,electric-guitar,sad,1,20220613
257,257_sad_n3_i1_electric-guitar_MarFio_20220613,MarFio,electric-guitar,sad,1,20220613
258,258_aggressive_n1_i1_electric-guitar_TomCost_20221001,TomCost,electric-guitar,aggressive,1,20221001
259,259_aggressive_n2_i2_electric-guitar_TomCost_20221001,TomCost,electric-guitar,aggressive,2,20221001
260,260_aggressive_n3_i3_electric-guitar_TomCost_20221001,TomCost,electric-guitar,aggressive,3,20221001
261,261_happy_n1_i2_electric-guitar_TomCost_20221001,TomCost,electric-guitar,happy,2,20221001
262,262_happy_n3_i1_electric-guitar_TomCost_20221001,TomCost,electric-guitar,happy,1,20221001
263,263_happy_n3_i2_electric-guitar_TomCost_20221001,TomCost,electric-guitar,happy,2,20221001
